Id,SepalLengthCm,SepalWidthCm,RandomColumn,PetalLengthCm,PetalWidthCm,Species
1,5.1,3.5,0.3675367916063713,1.4,0.2,Iris-setosa
2,4.9,3.0,0.35386631106748256,1.4,0.2,Iris-setosa
3,4.7,3.2,0.338589844042105,1.3,0.2,Iris-setosa
4,4.6,3.1,0.8222225495626136,1.5,0.2,Iris-setosa
5,5.0,3.6,0.5040464374453957,1.4,0.2,Iris-setosa
6,5.4,3.9,0.41369444558166446,1.7,0.4,Iris-setosa
7,4.6,3.4,0.23437067209768803,1.4,0.3,Iris-setosa
8,5.0,3.4,0.8498150808953114,1.5,0.2,Iris-setosa
9,4.4,2.9,0.7300184934987293,1.4,0.2,Iris-setosa
10,4.9,3.1,0.6434532151173741,1.5,0.1,Iris-setosa
11,5.4,3.7,0.7141275460673607,1.5,0.2,Iris-setosa
12,4.8,3.4,0.6631333197792183,1.6,0.2,Iris-setosa
13,4.8,3.0,0.7441832723027472,1.4,0.1,Iris-setosa
14,4.3,3.0,0.7948759831233093,1.1,0.1,Iris-setosa
15,5.8,4.0,0.4796739620619632,1.2,0.2,Iris-setosa
16,5.7,4.4,0.3898378847202285,1.5,0.4,Iris-setosa
17,5.4,3.9,0.423586827210645,1.3,0.4,Iris-setosa
18,5.1,3.5,0.5077265252805392,1.4,0.3,Iris-setosa
19,5.7,3.8,0.7433844326740573,1.7,0.3,Iris-setosa
20,5.1,3.8,0.6481532998549828,1.5,0.3,Iris-setosa
21,5.4,3.4,0.20319609224056823,1.7,0.2,Iris-setosa
22,5.1,3.7,0.2787888454389408,1.5,0.4,Iris-setosa
23,4.6,3.6,0.40432444077791807,1.0,0.2,Iris-setosa
24,5.1,3.3,0.5251230782192355,1.7,0.5,Iris-setosa
25,4.8,3.4,0.7986482427650934,1.9,0.2,Iris-setosa
26,5.0,3.0,0.8094950766526549,1.6,0.2,Iris-setosa
27,5.0,3.4,0.07417476379521781,1.6,0.4,Iris-setosa
28,5.2,3.5,0.39472047430232904,1.5,0.2,Iris-setosa
29,5.2,3.4,0.2253278014058009,1.4,0.2,Iris-setosa
30,4.7,3.2,0.9556008482032994,1.6,0.2,Iris-setosa
31,4.8,3.1,0.952765625902483,1.6,0.2,Iris-setosa
32,5.4,3.4,0.8838731532748415,1.5,0.4,Iris-setosa
33,5.2,4.1,0.18256645699741192,1.5,0.1,Iris-setosa
34,5.5,4.2,0.3848792169305666,1.4,0.2,Iris-setosa
35,4.9,3.1,0.05182184063614248,1.5,0.1,Iris-setosa
36,5.0,3.2,0.746196787113805,1.2,0.2,Iris-setosa
37,5.5,3.5,0.813840588088863,1.3,0.2,Iris-setosa
38,4.9,3.1,0.45181142410405795,1.5,0.1,Iris-setosa
39,4.4,3.0,0.6284261758118294,1.3,0.2,Iris-setosa
40,5.1,3.4,0.810419532144495,1.5,0.2,Iris-setosa
41,5.0,3.5,0.7314811161923133,1.3,0.3,Iris-setosa
42,4.5,2.3,0.2516084706368127,1.3,0.3,Iris-setosa
43,4.4,3.2,0.9798885810241332,1.3,0.2,Iris-setosa
44,5.0,3.5,0.5968276863840394,1.6,0.6,Iris-setosa
45,5.1,3.8,0.7394829988553416,1.9,0.4,Iris-setosa
46,4.8,3.0,0.35363554387471907,1.4,0.3,Iris-setosa
47,5.1,3.8,0.9140728217501112,1.6,0.2,Iris-setosa
48,4.6,3.2,0.8566846542264152,1.4,0.2,Iris-setosa
49,5.3,3.7,0.04715831181507435,1.5,0.2,Iris-setosa
50,5.0,3.3,0.5753498035538642,1.4,0.2,Iris-setosa
51,7.0,3.2,0.662251720252506,4.7,1.4,Iris-versicolor
52,6.4,3.2,0.4546592534060878,4.5,1.5,Iris-versicolor
53,6.9,3.1,0.1939960014759925,4.9,1.5,Iris-versicolor
54,5.5,2.3,0.5463085119102904,4.0,1.3,Iris-versicolor
55,6.5,2.8,0.12733024842637408,4.6,1.5,Iris-versicolor
56,5.7,2.8,0.5989663489621867,4.5,1.3,Iris-versicolor
